exercise_id,exercise_name,body_region,target_muscles,joint_actions,movement_type,clinical_indications,contraindications,difficulty,required_equipment,starting_position,execution_instructions,sets,repetitions,duration,rest_period,frequency,progression_criteria,regression_criteria,regression_options,clinical_rationale,benefits,common_compensations,common_mistakes,precautions,safety_warnings,safety_tips,stop_criteria,expected_outcomes,video_url_placeholder,image_placeholder,evidence_level,clinical_references
EX0076,Doorway Pec Stretch,shoulder,pectoralis major/minor,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,doorway,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform doorway pec stretch for the shoulder with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress duration if no anterior shoulder symptoms.,"Regress if excessive lumbar arch appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for shoulder rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",excessive lumbar arch,excessive lumbar arch,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0076,images/EX0076.png,Moderate,See docs/references.md
EX0077,Shoulder Isometric External Rotation,shoulder,rotator cuff,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,wall/towel,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform shoulder isometric external rotation for the shoulder with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress hold duration before band loading.,"Regress if pushing through wrist instead of shoulder appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for shoulder rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",pushing through wrist instead of shoulder,pushing through wrist instead of shoulder,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0077,images/EX0077.png,High,See docs/references.md
EX0078,Assisted Pulley Flexion,shoulder,deltoid; rotator cuff,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,pulley,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform assisted pulley flexion for the shoulder with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress range within irritability limits.,"Regress if hiking shoulder appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for shoulder rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",hiking shoulder,hiking shoulder,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0078,images/EX0078.png,Moderate,See docs/references.md
EX0079,Farmer Carry Shoulder Set,shoulder,rotator cuff; scapular stabilizers,task-specific multi-joint movement and transfer practice,functional,"difficulty with transfers, gait, ADL, school, sport, or work tasks","unsafe vitals, inability to follow essential safety cues, or prohibited weight bearing",moderate,dumbbells,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform farmer carry shoulder set for the shoulder with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress distance when shoulder stays set.,"Regress if rounded shoulders appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets functional for shoulder rehabilitation with stage-specific loading and symptom-guided progression.,"better task independence, gait/transfers, and participation",rounded shoulders,rounded shoulders,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use prescribed assistive devices and stop if gait safety deteriorates.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better task independence, gait/transfers, and participation",https://example.org/videos/EX0079,images/EX0079.png,Moderate,See docs/references.md
EX0080,Throwing Interval Program,shoulder,rotator cuff; kinetic chain,rapid force absorption and production with landing control,power,late-stage return-to-sport or high-demand occupational readiness,"acute injury, poor landing control, high pain, effusion, or incomplete tissue healing",hard,ball,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform throwing interval program for the shoulder with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,6,,90-150 seconds,3-5 days/week,Progress only after staged throwing criteria are met.,"Regress if increasing distance too quickly appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets power for shoulder rehabilitation with stage-specific loading and symptom-guided progression.,"improved landing mechanics, rate of force development, and sport/work readiness",increasing distance too quickly,increasing distance too quickly,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Only use in late-stage rehab with adequate strength, control, and symptom stability.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved landing mechanics, rate of force development, and sport/work readiness",https://example.org/videos/EX0080,images/EX0080.png,Low/Consensus,See docs/references.md
EX0081,Wrist Extensor Isometric,elbow/wrist/hand,wrist extensors,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform wrist extensor isometric for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress hold time before loaded eccentrics.,"Regress if shoulder hiking appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",shoulder hiking,shoulder hiking,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0081,images/EX0081.png,High,See docs/references.md
EX0082,Wrist Extensor Eccentric,elbow/wrist/hand,wrist extensors,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,dumbbell,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform wrist extensor eccentric for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load when tendon pain stays stable.,"Regress if dropping the weight too quickly appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",dropping the weight too quickly,dropping the weight too quickly,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0082,images/EX0082.png,High,See docs/references.md
EX0083,Wrist Flexor Eccentric,elbow/wrist/hand,wrist flexors,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,dumbbell,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform wrist flexor eccentric for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load with controlled lowering.,"Regress if gripping excessively appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",gripping excessively,gripping excessively,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0083,images/EX0083.png,High,See docs/references.md
EX0084,Pronation Supination,elbow/wrist/hand,pronator teres; supinator,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,hammer/dowel,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform pronation supination for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress lever length when rotation is smooth.,"Regress if moving shoulder instead of forearm appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",moving shoulder instead of forearm,moving shoulder instead of forearm,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0084,images/EX0084.png,Moderate,See docs/references.md
EX0085,Tendon Glides,elbow/wrist/hand,finger flexor tendons,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform tendon glides for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress repetitions if no triggering or swelling.,"Regress if forcing painful finger flexion appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",forcing painful finger flexion,forcing painful finger flexion,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0085,images/EX0085.png,Moderate,See docs/references.md
EX0086,Median Nerve Glide,elbow/wrist/hand,median nerve interface,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform median nerve glide for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress range with transient mild symptoms only.,"Regress if sustained nerve tension appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",sustained nerve tension,sustained nerve tension,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0086,images/EX0086.png,Moderate,See docs/references.md
EX0087,Grip Putty Squeeze,elbow/wrist/hand,finger flexors; hand intrinsics,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,therapy putty,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform grip putty squeeze for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress putty resistance when soreness is stable.,"Regress if wrist flexion collapse appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",wrist flexion collapse,wrist flexion collapse,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0087,images/EX0087.png,High,See docs/references.md
EX0088,Finger Extension Band,elbow/wrist/hand,finger extensors,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,rubber band,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform finger extension band for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress band resistance after full extension.,"Regress if wrist extension substitution appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",wrist extension substitution,wrist extension substitution,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0088,images/EX0088.png,High,See docs/references.md
EX0089,Thumb Opposition Drill,elbow/wrist/hand,thenar muscles,low-load precision contraction with breathing and pelvic/trunk control,motor control,"poor movement coordination, pelvic/trunk control deficit, or low-load activation need","acute pelvic infection, immediate postoperative restriction, or symptom escalation with contraction",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform thumb opposition drill for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress speed after accurate thumb placement.,"Regress if collapsing thumb MCP joint appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets motor control for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"better coordination, continence support, trunk control, and symptom modulation",collapsing thumb MCP joint,collapsing thumb MCP joint,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Avoid bearing down; stop if pelvic pain, pressure, or leakage worsens substantially.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better coordination, continence support, trunk control, and symptom modulation",https://example.org/videos/EX0089,images/EX0089.png,Moderate,See docs/references.md
EX0090,Radial Deviation Strengthening,elbow/wrist/hand,radial wrist deviators,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,dumbbell,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform radial deviation strengthening for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load when movement is pain-free.,"Regress if forearm rotation appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",forearm rotation,forearm rotation,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0090,images/EX0090.png,High,See docs/references.md
EX0091,Ulnar Deviation Strengthening,elbow/wrist/hand,ulnar wrist deviators,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,dumbbell,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform ulnar deviation strengthening for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load with stable wrist alignment.,"Regress if elbow motion substitution appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",elbow motion substitution,elbow motion substitution,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0091,images/EX0091.png,High,See docs/references.md
EX0092,Biceps Curl Rehab Tempo,elbow/wrist/hand,biceps brachii; brachialis,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,dumbbell/band,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform biceps curl rehab tempo for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load after tendon response is stable.,"Regress if swinging the arm appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",swinging the arm,swinging the arm,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0092,images/EX0092.png,High,See docs/references.md
EX0093,Triceps Pressdown,elbow/wrist/hand,triceps,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,band/cable,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform triceps pressdown for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress resistance with full elbow control.,"Regress if shoulder extension substitution appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",shoulder extension substitution,shoulder extension substitution,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0093,images/EX0093.png,High,See docs/references.md
EX0094,Weight-Bearing Wrist Rock,elbow/wrist/hand,wrist flexors/extensors,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",moderate,mat/table,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform weight-bearing wrist rock for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load through hand as symptoms permit.,"Regress if collapsing arches of hand appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",collapsing arches of hand,collapsing arches of hand,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0094,images/EX0094.png,Moderate,See docs/references.md
EX0095,Farmer Carry Grip,elbow/wrist/hand,forearm flexors; hand intrinsics,task-specific multi-joint movement and transfer practice,functional,"difficulty with transfers, gait, ADL, school, sport, or work tasks","unsafe vitals, inability to follow essential safety cues, or prohibited weight bearing",moderate,dumbbells,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform farmer carry grip for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress load or distance when grip symptoms are stable.,"Regress if shoulder shrugging appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets functional for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"better task independence, gait/transfers, and participation",shoulder shrugging,shoulder shrugging,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use prescribed assistive devices and stop if gait safety deteriorates.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better task independence, gait/transfers, and participation",https://example.org/videos/EX0095,images/EX0095.png,Moderate,See docs/references.md
EX0096,Rice Bucket Dexterity,elbow/wrist/hand,hand intrinsics; forearm muscles,task-specific multi-joint movement and transfer practice,functional,"difficulty with transfers, gait, ADL, school, sport, or work tasks","unsafe vitals, inability to follow essential safety cues, or prohibited weight bearing",moderate,rice bucket,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform rice bucket dexterity for the elbow/wrist/hand with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress time as fatigue tolerance improves.,"Regress if using shoulder instead of hand motion appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets functional for elbow/wrist/hand rehabilitation with stage-specific loading and symptom-guided progression.,"better task independence, gait/transfers, and participation",using shoulder instead of hand motion,using shoulder instead of hand motion,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use prescribed assistive devices and stop if gait safety deteriorates.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better task independence, gait/transfers, and participation",https://example.org/videos/EX0096,images/EX0096.png,Moderate,See docs/references.md
